header,source,link,article_content
Where Do Billionaires Keep Their Money?,Business,/news/8-places-billionaires-keep-money-130030395.html,"where do billionaires keep their moneyBillionaires have been able to not only acquire wealth but most have gradually built it over time. This means that many have had successful investments, which makes it natural for everyone else to wonder where they are investing or keeping their money in order to see that growth. We’ve compiled a list of some of the most common investments that billionaires make when looking for sustained growth of their money over time.Keep in mind, though, that billionaires don’t typically manage their own money and instead choose to work with a financial advisor to help with their asset allocation.1. Cash and Cash EquivalentsCash and cash equivalents are common places where billionaires keep of some their money. Though not often thought of as an investment, cash is a liquid asset, meaning you can use it in a variety of ways as needs or desires arise. In a crisis, having cash on hand gives you the flexibility to respond. That’s why billionaires keep a significant portion of their money in cash and cash equivalents.However, with current rates of inflation, cash has less of an emphasis. Inflation causes the value of money to drop, so having too much of it on hand during an inflationary period can mean you lose significantly. 2. CommoditiesCommodities are often another piece of a billionaire’s portfolio, and having such assets can help hedge against risk, inflation and volatility. For instance, in a scenario where inflation is causing difficulty for the rest of the market, having investments in raw materials whose price is rising can help protect you if other parts of your portfolio are suffering. People and economies depend on commodities, and inflation makes them worth more money.Raw materials and agricultural products – like precious metals, industrial metals like copper, oil and natural gas, coffee, corn, pork bellies and soy beans – are popular types of commodities held and traded by billionaires or their agents. 3. Foreign CurrenciesHolding foreign currencies offers billionaires the potential to capitalize on fluctuations of value in various currencies. It is simply a form of diversification: Rather than have all their assets denominated in one currency, they spread some of their wealth to assets denominated in other currencies. That offers protection against one currency falling and capital appreciation if another currency in which they have assets gains value.Story continues4. Securities Another common place where billionaires keep their money is in securities. Securities are financial investments and instruments with some value that can be traded, oftentimes on public markets. Common types of securities include bonds, stocks and funds (mutual and exchange-traded).Funds and stocks are the bread-and-butter of investment portfolios. Billionaires use these investments to ensure their money grows steadily. Billionaires typically hold onto these investments, instead of trying to time the market for a quick buck. That means they’re relying on the long-term upward growth of the market to give them a return. 5. Private Equity and Hedge Fundswhere do billionaires keep their moneyPrivate equity and hedge funds sit adjacent to securities and trading markets. While they aren’t the same thing, these two types of investment tools are popular among billionaires. They appeal to people of high net worth who can afford large investments and higher risk. Such people are sometimes categorized as sophisticated investors or accredited investors.Hedge funds use large pools of money and strategic investments in a variety of assets to generate high returns. Private equity, on the other hand, trades in privately owned businesses with the goal of running the business for higher profits. Both require a significant amount of money to participate, keeping them from being an option for many investors.6. Real EstateIt should come as no surprise that one place billionaires keep their money is in real estate. One of the most common ways to invest in real estate without worrying about constant maintenance is to put your money into real estate investment trusts (REITs). This can provide you with a strong return while someone else manages the investments and management of the physical properties. Commercial, industrial and residential property investments can also offer a steady stream of income from tenants. Of course, owning real estate is great when its value is growing, but what about other reasons? Another advantage of owning real estate is taxes. For instance, if your property depreciates, it’s deductible from your taxes.7. CollectiblesWhen billionaires are looking for places beyond traditional investments to keep their money, they might turn to tangible, collectible investments.  These often include pricey collectible items, like vintage cars, fine art and rare or antique musical instruments and original manuscripts of famous books. While all successful investing requires research, it’s especially true for collectibles. The investor needs both an interest in the items, but also a discerning eye and the ability to not become immediately emotionally invested.8. CryptocurrenciesCryptocurrencies – like Bitcoin, Dogecoin and Ethereum – are volatile and intimidating to many, including billionaires, but some billionaires have chosen to invest in them. The truth is digital currencies are growing in legitimacy and value. Cryptocurrency – and the blockchain it’s built on – is a revolutionary technology that could change many industries.Part of the appeal of crypto for billionaires is that it allows for a secure store of value. Due to cryptography, the money can’t be taxed, stolen or confiscated. It’s also apolitical and free of government oversight. Plus, it can be used globally without worrying about shifting exchange rates.Of course, cryptocurrencies are still unpredictable and have yet to gain widespread use. That keeps some billionaires from investing, but others see crypto as another opportunity to grow their wealth, or at least protect it from taxation. These currencies also make it easy to move money or pay for things in other countries.The Bottom Linewhere do billionaires keep their moneyYou may not be a billionaire, but you can still see how they make their money work for them. By learning where billionaires keep their money, you can pursue some of these investment types yourself in order to grow your own wealth. Cash stored in savings and investments in a diverse portfolio of securities and commodities is a good starting place,  but the more wealth you acquire the more you can invest in more aggressive opportunities. Tips on Investing Like a BillionaireBillionaires didn’t become rich without help, so there’s no reason you should struggle alone. You can work with an experienced financial advisor to help you create a financial plan and allocate your assets correctly. Finding a financial advisor doesn’t have to be hard. SmartAsset’s free tool matches you with up to three financial advisors who serve your area, and you can interview your advisor matches at no cost to decide which one is right for you. If you’re ready to find an advisor who can help you achieve your financial goals, get started now.If you’re ready to know your investments better, one step you can take is calculating your rate of return. See how the growth of your investments over time will affect how much return you see. Check out SmartAsset’s investment calculator to get started.©iStock.com/Extreme-Photographer, ©iStock.com/William_Potter, ©iStock.com/guvendemirThe post Where Do Billionaires Keep Their Money? appeared first on SmartAsset Blog."
Elon Musk Warns Against Margin Debt on Risk of Market ‘Mass Panic’,Business,/news/elon-musk-warns-against-margin-215641054.html,"(Bloomberg) -- Billionaire Elon Musk is warning against something he himself has done — borrowing against the value of securities one owns — because of the risk of “mass panic” in the stock market.Most Read from BloombergElon Musk Warns Against Margin Debt on Risk of Market ‘Mass Panic’Power Outages, Flight Delays as US Storm Leaves Trail of ChaosChina Estimates Covid Surge Is Infecting 37 Million People a DayEastern US Power Grid Orders Cuts Amid System-Wide EmergencyAlameda’s Former CEO Ellison Said She, Bankman-Fried Misled FTX Lenders“I would really advise people not to have margin debt in a volatile stock market and you know, from a cash standpoint, keep powder dry,” Musk said in the All-In podcast released Friday. “You can get some pretty extreme things happening in a down market.”The Tesla Inc. chief executive officer put up billions of his own money when he purchased Twitter Inc. for $44 billion earlier this year and saddled the company with $13 billion of debt. Bloomberg News has reported that Musk’s bankers are considering replacing some of the high-interest debt he layered on Twitter with new margin loans backed by Tesla stock that he’d be personally responsible for re-paying.Tesla Margin-Loan Talks Show Pressure Mounting on Musk, BankersHe’s also disposed of nearly $40 billion of Tesla’s shares, a move that contributed to driving the stock to a two-year low. Following the latest sales, Musk again said this week he will stop selling shares, adding that the pause could last for two years or so.The warning, at least the second made by Musk this month, is ironic given the billionaire has previously pledged his Tesla shares. As of December 2020, Musk had 92 million Tesla shares pledged as collateral, according to an SEC filing in April 2022.During the podcast, Musk also reiterated his belief that the economy is overdue for a recession and that the slowdown could be similar to the scale seen in 2009.“My best guess is that we have stormy times for a year to a year and a half, and then, dawn breaks roughly in Q2 2024, that’s my best guess,” Musk said. “Booms don’t last forever, but neither do recessions.”Story continues--With assistance from Susanne Barton and Craig Trudell.(Updates with previous disclosures on Musk’s pledged shares)Most Read from Bloomberg BusinessweekThe Chatbots Are Coming for GoogleApple Investors’ Loyalty Is Rewarded With a $454 Billion GiftDrugmakers Are Testing Ways to Stop Alzheimer’s Before It StartsThe Two-Word Mantra That Changed Bank of America’s Risk CultureThe Federal Reserve Doesn’t Care About Your Misery©2022 Bloomberg L.P."
"McDonald's unveils first automated location, social media worried it will cut 'millions' of jobs",Business,/news/mcdonalds-unveils-first-automated-location-141911535.html,"McDonald’s opened its first automated restaurant, with machines handling everything from taking orders to delivering the food – and dividing opinions everywhere.""When you step inside the test restaurant concept, you'll notice it's considerably smaller than a traditional McDonald's restaurant in the U.S.,"" McDonald’s said in a statement. ""Why? The features—inside and outside—are geared toward customers who are planning to dine at home or on the go.""The Fort Worth, Texas, location uses technology to minimize human interaction when ordering and picking up food. The restaurant features an ""Order Ahead Lane"" where customers can receive orders by conveyor belt, Newsweek reported.The initiative is part of McDonald’s ""Accelerating the Arches"" plan, which works to grow and innovate the customer experience, but not everyone is pleased with the direction the restaurant mogul has chosen.MCDONALD'S FRANCHISEE FINED $57K AFTER INVESTIGATION OVER CHILD LABOR VIOLATIONTikTok user @foodiemunster shared a video of their experience, which showed the user going into a small but empty McDonald’s with one kiosk to order food and a conveyor belt that delivers it when ready.READ ON THE FOX BUSINESS APP""Inside the restaurant, there's a delivery pick-up room for couriers to retrieve orders quickly and conveniently,"" McDonald’s explained in its statement. ""There are also kiosks, where customers can place their orders to go, and a pick-up shelf for orders.""TACO BELL MULLING PLAN TO MAKE FRIED PERMANENT FIXTURE TO MENU TO COMPETE WITH MCDONALD'S""Outside the restaurant, there are several parking spaces dedicated to curbside order pick-up, as well as designated parking spaces for delivery drivers.""A customer accepts their order off the conveyor belt at the drive-thru window, avoiding all human interaction during their order process. McDonald's stressed that a restaurant crew will remain to help prepare the orders, and the removal of tasks such as handling the register and delivering food to the front or drive-thru lanes will help improve the team's ability to assemble orders.RESTAURANT GROUPS PUSH TO OVERTURN CALIFORNIA FAST-FOOD WAGE LAWStory continues""The technology in this restaurant not only allows us to serve our customers in new, innovative ways, it gives our restaurant team the ability to concentrate more on order speed and accuracy, which makes the experience more enjoyable for everyone,"" explains Keith Vanecek, the franchisee operating the test restaurant.The Fort Worth location that serves as the pilot for the automated program.""I am immensely proud to have this new restaurant concept serving our customers in the Dallas-Fort Worth Metroplex.""Social media response indicated people did not universally agree whether this was a positive or negative change: Some people celebrated the innovation as a move towards faster and more accurate orders, but others took a more cynical position and predicted that it would lead to a loss of ""millions of jobs.""READ MORE ON FOX BUSINESS BY CLICKING HERE""Honestly if they go through with this I'll just boycott McDonald's, their food's mid at best anyway,"" one user said. McDonald’s did not respond to a FOX Business request for comment by time of publication."
Bill Gates Hit By Housing Market Swoon? Billionaire Reportedly Lists Daughter's Apartment At Discount,Business,/news/bill-gates-hit-housing-market-192520787.html,"More evidence for the housing market downturn came this week, as a slew of housing market readings came in worse than expected. Now, there appears to be anecdotal evidence to confirm the same.What Happened: Bill Gates has listed for sale the three-bedroom New York City apartment that he bought for his daughter Jennifer in 2018, the New York Post reported.The twist in the tale is that the asking price is $4.75 million, a discount from the $5 million at which it was purchased.The condominium, which is at 1212 Fifth Avenue, was bought by Gates so that his daughter could use it after graduating from Stanford University. Jennifer has since then married fellow equestrian Nayel Nassar and both are set to welcome their first child in a few weeks.Toni Haber, one of Manhattan’s most experienced real estate advisors working with Compass, is holding the listing. The 2,389 square feet corner condo offers direct Central Park views to the west and north and has had substantial upgrades and configurations, the listing showed.See also: Best Real Estate StocksWhy It’s Important:  Home sales and prices have been on a downward trajectory in the U.S., portending a housing market collapse. Existing home sales fell for a 10th straight month in November, a report from the National Association of Realtors showed this week.Sales fell 7.7% month-over-month and 35.4% year-over-year. A Commerce Department report showed a 15.3% annual drop in November new home sales, although the metric increased 5.8% from the previous month.Higher mortgage rates and home prices served as a drag on the housing sector for much of this year. The average 30-year fixed-rate mortgage rose 4% through the first ten months of the year, one of the largest on record, Brad McMillan, Chief Investment Officer for Commonwealth Financial Network said, citing data from Zillow. Home prices, however, have begun to head southward in recent months.Story continuesGates’ decision to sell the condo could have stemmed from the fact that Jennifer no longer uses it and he desires to give away much of his wealth to charity, the Post said.Read next: Economist Says Housing Turnover Will Drop To Its Lowest Rate In 40 YearsPhoto via Wikimedia CommonsSee more from BenzingaNio Day 2022: New EC7 Coupe, Improved ES8 Flagship SUV, 3rd-Gen Power-Swap Station And MoreTesla Said To Push Forward Production Suspension At Giga Shanghai As China's COVID Cases SurgeDon't miss real-time alerts on your stocks - join Benzinga Pro for free! Try the tool that will help you invest smarter, faster, and better.© 2022 Benzinga.com. Benzinga does not provide investment advice. All rights reserved."
'Not the time to get greedy': Home flippers getting burned by the housing market downturn are now slashing prices to cut losses — here are the 2 big reasons why,Business,/news/not-time-greedy-home-flippers-110000999.html,"'Not the time to get greedy': Home flippers getting burned by the housing market downturn are now slashing prices to cut losses — here are the 2 big reasons whyHome flippers who pounced on recent drops in home prices now face some major hurdles — and potentially major losses.It’s a story few could have foreseen: After home-flipping reached record heights as 2022 kicked off, the bubble seems to have burst. The 1-in-10 home flipping/conventional sales ratio has dropped as the overall real estate market hits the brakes.Home sales fell for the ninth month in a row in October, and dipped an astounding 28.4% from October 2021, according to the National Association of Realtors. It’s now causing many property investors to dump their inventory, and fast.“Anybody that’s flipping right now needs to be looking closely at pricing of property: Price it to sell. Today is not the time to get greedy,” Noah Brocious, president of Capital Fund I, a hard-money lender that does business in Phoenix, Colorado and Texas, told Bloomberg News in the fall.It’s true that elsewhere — in the stock market, for example — low prices and selloffs reveal golden opportunities to buy. But for those eagerly eyeing the housing market, it’s time to think again.Don't missAmericans are paying nearly 40% more on home insurance compared to 12 years ago — here's how to spend less on peace of mindBetter than NFTs: You don't have to be ultra-rich to own a piece of a Pablo Picasso. Here's how to enter the fine art markeYou could be the landlord of Walmart, Whole Foods and Kroger (and collect fat grocery store-anchored income on a quarterly basis)Slumping demandHome flippers must face facts: The skyrocketing demand we saw earlier this year may not return for years, if ever. First, housing inventory reached a 10-year low back in January 2022, according to Trading Economics, with just 860,000 single family and condo units for sale in the United States.About 115,000 single-family homes and condos were “flipped” in the U.S. during the second quarter of 2022, according to real estate data curator ATTOM. This made up about 8.2% of all home sales in the quarter, or up to one in 12 transactions. It indicated that any economic cooldown had not yet manifested in the broader market.Story continues“The total number of properties flipped was the second-highest total we’ve recorded in the past 22 years, and the median sales price of a flipped property — $328,000 — was the highest ever,” said Rick Sharga, executive vice president of market intelligence for ATTOM.Read more: The 10 best investing apps for 'once-in-a-generation' opportunities (even if you're a beginner)“The big question is whether the fix-and-flip market will begin to lose steam as overall home sales have declined dramatically over the past few months, and the cost of financing has virtually doubled over the past year.”Inventory of homes for sale peaked in July at 1.31 million homes. While that came down to 1.22 million homes in October, a general rise has continued even as demand continues to fall.Rising ratesNow for the second issue facing home flippers, the one that’s making everyone groan: higher interest rates. That means costlier mortgages, which have socked flippers with massive increases in their loans.As property investors usually invest in several homes at once, it’s no wonder that many now want to get them off their hands. But with prospective buyers also turned off by high rates, it’s turning into a Hail Mary play.The federal funds rate rose 0.5% at the start of 2022, and now sits between 4.25% and 4.50%. And it may climb higher in the new year as the Fed has hinted at the possibility of more hikes to come, which could tip the country into a recession.With that in mind, many property investors will want to wait before they get greedy over home prices. Today, a great deal on a home is counterbalanced by a mortgage with a far higher interest rate compared to this time last year.There is some hope on the horizon, though, according to the ATTOM report. After six straight periods of losses, profit margins rose during the latest quarter. The gross profit on a typical transaction hit $73,700, up 10% year-over-year and 10% quarter-over-quarter.What’s next, then? Americans should have more information on forward-looking trends when the next housing reports come out at the end of the month.Meanwhile, bear this in mind: As home flipping tends to mirror the rest of the market, property investors should brace for further drops — stomach drops included.A better way to buy property?Of course, flipping single-family homes and condos isn't the only way to invest in real estate.Amid hot inflation and the uncertain economy, real estate moguls are still finding ways to effectively invest their millions.Prime commercial real estate, for example, has outperformed the S&P 500 over a 25-year period. With the help of new platforms, these kinds of opportunities are now available to retail investors. Not just the ultra rich.With a single investment, investors can own institutional-quality properties leased by brands like CVS, Kroger and Walmart — and collect stable grocery store-anchored income on a quarterly basis.This article provides information only and should not be construed as advice. It is provided without warranty of any kind."
Bonds Are Ready to Shine Again. 4 Tips So You Don’t Get Burned.,Business,/m/83580254-7afe-3524-aeac-74caac08c0b6/bonds-are-ready-to-shine.html,
"Tesla Is Shutting Down Its Shanghai Plant, Reports Say. It’s Not a Grinch Moment.",Business,/m/af8334e4-7c34-3cb8-ba2c-0053df3cf004/tesla-is-shutting-down-its.html,
Oil Passes Natural Gas as Main Fuel for Power Plants in New England,World,/news/oil-passes-natural-gas-main-231311044.html,"(Bloomberg) -- Oil took over from natural gas as the leading fuel for power plants in New England, a significant switch that signals how the grid is desperately trying to keep the lights on in the face of a winter massive storm.Most Read from BloombergElon Musk Warns Against Margin Debt on Risk of Market ‘Mass Panic’Power Outages, Flight Delays as US Storm Leaves Trail of ChaosChina Estimates Covid Surge Is Infecting 37 Million People a DayEastern US Power Grid Orders Cuts Amid System-Wide EmergencyAlameda’s Former CEO Ellison Said She, Bankman-Fried Misled FTX LendersThe six-state grid relied on oil for at least a third of its power generation and for as much as 40% at times on Saturday, ISO New England data show. Natural gas provided as little as 15% by mid-afternoon.The region typically only uses oil to meet demand on the hottest and coldest days of the year as back up. Heading into the peak evening hours, New England issued a series of grid alerts warning of a possible shortfall of power reserves and asked market members to voluntarily conserve electricity.The operator later said it’s trying to buy emergency supplies from market participants or neighboring regions. The situation is so tight that prices jumped to more than the $2,000 a megawatt-hour price cap on Saturday evening. This time last week, spot power was in the $30 range.While New England was always likely to be operating on tight supplies this winter, the fact that oil overtook gas, nuclear and hydro — typically the cheapest and biggest sources of power on this grid — shows a level of severity perhaps expected later in the season.Dirty OilThe storm is already stoking up a debate about the energy transition: how to ensure there are enough power plants online to meet heating needs in extreme conditions. And when an operator resorts to a fossil fuel as dirty as oil to stave off outages, that adds another level of tension to the debate.On the 13-state Eastern US grid operated by PJM Interconnection, gas was king but supply constraints also contributed to an unexpectedly large number of outages that prompted warnings of rotating blackouts.Story continuesFossil fuels gained share on other grids. After the wind died down in Texas on Friday, gas accounted for 73% of power generation that night with coal making up the bulk of the rest. Coal also gained share in the Central US grid operated by the Midcontinent Independent System Operator.--With assistance from Brian Eckhouse.Most Read from Bloomberg BusinessweekThe Chatbots Are Coming for GoogleApple Investors’ Loyalty Is Rewarded With a $454 Billion GiftDrugmakers Are Testing Ways to Stop Alzheimer’s Before It StartsThe Two-Word Mantra That Changed Bank of America’s Risk CultureThe Federal Reserve Doesn’t Care About Your Misery©2022 Bloomberg L.P."
"'For 40 years, I've tried to change the mindset of people.': Suze Orman has 3 time-tested ways to prepare your finances before your next emergency amid a 2023 recession",Business,/news/40-years-ive-tried-change-130000513.html,"'For 40 years, I've tried to change the mindset of people.': Suze Orman has 3 time-tested ways to prepare your finances before your next emergency amid a 2023 recessionThe word recession is still on economists' lips as we head into 2023. The latest GDP report did show that the U.S. economy rebounded by 2.6% in Q3 after declining for Q1 and Q2 of this yearDespite this, experts are saying there is a 70% chance the U.S. will go into recession in 2023, according to a December Bloomberg survey.Personal finance expert Suze Orman joined the chorus during a September episode of her Women & Money podcast, predicting a recession at ""the beginning of 2023.""She recently sat down with Moneywise to talk about the risks of not being prepared for a financial emergency.On the positive side, Orman has suggestions for proactive ways to prepare for a recession in the new year.WATCH NOW: Full 30-minute Q&A with Suze Orman and Devin Miller of SecureSave on the importance of emergency savings accountsDon’t missBetter than NFTs: You don't have to be ultra-rich to own a piece of a Pablo Picasso. Here's how to enter the fine art market'Hold onto your money': Jeff Bezos says you might want to rethink buying a 'new automobile, refrigerator, or whatever' — here are 3 better recession-proof buysAmericans are paying nearly 40% more on home insurance compared to 12 years ago — here's how to spend less on peace of mindAssume you are unemployedThe job market looks fine right now. According to the latest report from the Bureau of Labor Statistics, the U.S. economy added 263,000 jobs in November.Moreover, the unemployment rate is holding steady at 3.7%.But Orman warns against complacency.“If there is a recession, you better believe the same firms that are hiring now, will be looking to reduce their payroll,” she writes. “I think the best gift you can give yourself right now is to imagine you are laid off.”In December 1969, the unemployment rate in the U.S. was an equally low 3.5%, yet an 11-month recession followed right afterward.When you are laid off, paychecks stop coming in. So Orman highly recommends building an emergency savings fund before your next crisis hits.Story continuesBut a lot of people don't think about saving until after something happens — like losing yur job.""For 40 years, I've tried to change the mindset of people,"" Orman said in a recent interview with Moneywise.""Usually, people have to hit rock bottom, before they make a change.""So how many months of financial cushion do you need?Orman suggests having enough savings to help you cover your expenses for a year. If that seems like a far-fetched target, just focus on saving as much as possible — one month at a time.Eliminate your credit card debtCredit cards are a great invention — for companies that offer you credit cards.For those that have an unpaid balance on their credit cards, debt could balloon dramatically during a recession.The reason? High interest rates.Read more: The 10 best investing apps for 'once-in-a-generation' opportunities (even if you're a beginner)The average credit card interest rate in America today is 22.91%, according to Lendingtree. At that rate, the compounding factor can make any unpaid credit card balance grow to dangerous levels very quickly.Orman notes that carrying credit card debt right now is “asking for so much trouble” as interest rates are on the rise.She’s not the only expert who believes you should get rid of credit card debt altogether.Legendary investor Warren Buffett has also warned about the danger of carrying an unpaid credit card balance.“If I owed any money at 18%, the first thing I’d do with any money I had would be to pay it off,” Buffett said in 2020. “You can’t go through life borrowing money at those rates and be better off.”Don’t spend it allIn an economy where the unemployment rate is low and wages expected to increase by 4.6% next year, it would be easy to assume that people are piling money into their savings.But that’s not the case.According to a recent report from LendingClub, 6 in 10 Americans are living paycheck to paycheck.Inflation is one reason why people are having trouble saving – nearly everything has gotten more expensive.In a recent interview with Moneywise, Orman stressed the importance of having an emergency fund set aside.“It is not improbable that come April of next year that the Fed funds rate could be very close to 5%, which means interest rates on credit cards could be way up there,” says Orman.By spending less than you earn, you can build up your emergency savings faster. And by getting used to a more frugal lifestyle, you can lower your living costs — so the same financial cushion can last longer in the event that you lose your job.WATCH NOW: Suze Orman tells a cautionary tale on what happens when you can't cover your next financial emergencyWhat to read nextYou could be the landlord of Walmart, Whole Foods and Kroger (and collect fat grocery store-anchored income on a quarterly basis)Here are 3 easy money moves to give your bank account a boost todayMillions of Americans are in massive debt in the face of rising rates. This free service helps you save on interest paymentsThis article provides information only and should not be construed as advice. It is provided without warranty of any kind."
Americans' personal savings have plunged to a staggering $520 billion — from $4.85 trillion in 2020. Here are 3 easy ways to buck that dangerous downtrend,Business,/news/personal-savings-americans-plunged-shockingly-161500140.html,"Americans' personal savings have plunged to a staggering $520 billion — from $4.85 trillion in 2020. Here are 3 easy ways to buck that dangerous downtrendWhen Americans were receiving stimulus checks from the government during the early days of the pandemic, they were able to save quite a bit of money.But things have changed.According to data from the Federal Reserve Bank of St. Louis, the personal savings of Americans sits at $520 billion as of November 2022, marking a substantial drop from the $4.85 trillion in 2020.Savings are now below even pre-pandemic levels and with the national stockpile shrinking by $100 billion since October.Here’s the blunt reality: Persistent inflation continues to deplete savings. And it doesn't help that economic growth has been sluggish while companies announce major layoffs. Living paycheck to paycheck has become the norm.Quite a few experts have been warning of a recession. So now’s a good time to buck the trend and build up a healthy savings cushion.Here are three ways to help you do it.Don’t missBetter than NFTs: You don't have to be ultra-rich to own a piece of a Pablo Picasso. Here's how to enter the fine art marketAmericans are paying nearly 40% more on home insurance compared to 12 years ago — here's how to spend less on peace of mindYour cash is trash: Here are 4 simple ways to protect your money against white-hot inflation (without being a stock market genius)WATCH NOW: Full 30-minute Q&A with Suze Orman and Devin Miller of SecureSave on the importance of emergency savings accountsCutting expensesSavings refers to the money you have left over after you subtract expenses from your disposable income. So to boost your savings, you can either increase your income or lower your expenses.In this economic climate, it’s probably a good idea to hold off on purchasing big-ticket items that you don’t necessarily need. In fact, that’s exactly what Amazon founder and executive chairman Jeff Bezos recommends.“If you're an individual considering purchasing a big-screen TV, you might want to wait, hold onto your money, and see what transpires,” Bezos tells CNN. “The same is true with a new automobile, refrigerator, or whatever else.”Story continuesThere are also ways to lower expenses that you can’t avoid.If you are paying too much for your car insurance policy, for example, you can compare car insurance and save up to $500 a year.The same goes for home insurance.While premiums are on the rise, comparing multiple home insurance companies is an easy way to find substantial savings.Boosting your incomeSwitching jobs may seem daunting.But data from Pew Research suggests that 60% of people who switched jobs or employers between 2021 and 2022 saw their income increase. Meanwhile, fewer than half of people who stayed at their jobs saw any wage growth.So if you’re looking to build up some savings, leaving your current role or employer for better opportunities may be your best bet at getting the salary increase you’re hoping for.Read more: The 10 best investing apps for 'once-in-a-generation' opportunities (even if you're a beginner)If you don’t want to switch jobs, consider getting a side hustle — something you get paid for doing in addition to your full-time job. It allows you to earn extra income — and could even be a way of testing the entrepreneurial waters.There’s no need to start big.A simple side gig like tutoring could be worth $75-$90 an hour, while dog walking could net you as much as $1,000 a month.Putting spare change to workWhen it comes to building a financial safety net, you don’t need large sums of money. In fact, you can start with some nickels and dimes.A survey from MyBankTracker found that 55.5% of Americans don’t do anything with their spare change. They just let it sit. But those coins quickly add up and you can put them to work.When you make a purchase on your credit or debit card, some apps automatically round up the price to the nearest dollar and place the excess — the coins that would wind up in your pocket if you were paying cash — into a smart investment portfolio.Your spare change may not seem like much. But take a look at this math: $2.50 worth of daily round-ups add up to $900 per year — which can then earn more money in the market.If you’re hesitant about jumping into the volatile stock market, using spare change could be a smart way to ease yourself in.What to read nextMillions of Americans are in massive debt in the face of rising rates. This free service helps you save on interest paymentsYou could be the landlord of Walmart, Whole Foods and Kroger (and collect fat grocery store-anchored income on a quarterly basis)Here are 3 money moves to boost your bank account right nowThis article provides information only and should not be construed as advice. It is provided without warranty of any kind."
