,year,eps_value,ticker
0,2021,$10.12,MMM
1,2020,$9.36,MMM
2,2019,$7.72,MMM
3,2018,$8.89,MMM
4,2017,$7.93,MMM
5,2016,$8.16,MMM
6,2015,$7.58,MMM
7,2014,$7.49,MMM
8,2013,$6.72,MMM
9,2012,$6.32,MMM
10,2011,$5.96,MMM
11,2010,$5.63,MMM
12,2009,$4.52,MMM
0,2021,$3.02,AOS
1,2020,$2.12,AOS
2,2019,$2.22,AOS
3,2018,$2.58,AOS
4,2017,$1.70,AOS
5,2016,$1.85,AOS
6,2015,$1.58,AOS
7,2014,$1.14,AOS
8,2013,$0.92,AOS
9,2012,$0.86,AOS
10,2011,$1.64,AOS
11,2010,$0.61,AOS
12,2009,$0.59,AOS
0,2021,$3.94,ABT
1,2020,$2.50,ABT
2,2019,$2.06,ABT
3,2018,$1.33,ABT
4,2017,$0.27,ABT
5,2016,$0.94,ABT
6,2015,$2.92,ABT
7,2014,$1.49,ABT
8,2013,$1.62,ABT
9,2012,$3.72,ABT
10,2011,$3.01,ABT
11,2010,$2.96,ABT
12,2009,$3.69,ABT
0,2021,$6.45,ABBV
1,2020,$2.72,ABBV
2,2019,$5.28,ABBV
3,2018,$3.66,ABBV
4,2017,$3.30,ABBV
5,2016,$3.63,ABBV
6,2015,$3.13,ABBV
7,2014,$1.10,ABBV
8,2013,$2.56,ABBV
9,2012,$3.35,ABBV
10,2011,$2.18,ABBV
11,2010,$2.65,ABBV
12,2009,$0.00,ABBV
0,2022,$2.98,ABMD
1,2021,$4.94,ABMD
2,2020,$4.43,ABMD
3,2019,$5.61,ABMD
4,2018,$2.45,ABMD
5,2017,$1.17,ABMD
6,2016,$0.85,ABMD
7,2015,$2.65,ABMD
8,2014,$0.18,ABMD
9,2013,$0.37,ABMD
10,2012,$0.04,ABMD
11,2011,$-0.32,ABMD
12,2010,$-0.52,ABMD
13,2009,$-0.91,ABMD
0,2022,$10.71,ACN
1,2021,$9.16,ACN
2,2020,$7.89,ACN
3,2019,$7.36,ACN
4,2018,$6.34,ACN
5,2017,$5.44,ACN
6,2016,$6.45,ACN
7,2015,$4.76,ACN
8,2014,$4.52,ACN
9,2013,$4.93,ACN
10,2012,$3.84,ACN
11,2011,$3.39,ACN
12,2010,$2.66,ACN
13,2009,$2.44,ACN
0,2021,$3.44,ATVI
1,2020,$2.82,ATVI
2,2019,$1.95,ATVI
3,2018,$2.40,ATVI
4,2017,$0.36,ATVI
5,2016,$1.28,ATVI
6,2015,$1.19,ATVI
7,2014,$1.13,ATVI
8,2013,$0.95,ATVI
9,2012,$1.01,ATVI
10,2011,$0.92,ATVI
11,2010,$0.33,ATVI
12,2009,$0.09,ATVI
0,2021,$10.02,ADBE
1,2020,$10.83,ADBE
2,2019,$6.00,ADBE
3,2018,$5.20,ADBE
4,2017,$3.38,ADBE
5,2016,$2.32,ADBE
6,2015,$1.24,ADBE
7,2014,$0.53,ADBE
8,2013,$0.56,ADBE
9,2012,$1.66,ADBE
10,2011,$1.65,ADBE
11,2010,$1.47,ADBE
12,2009,$0.73,ADBE
0,2022,$7.00,ADP
1,2021,$6.07,ADP
2,2020,$5.70,ADP
3,2019,$5.24,ADP
4,2018,$4.25,ADP
5,2017,$3.97,ADP
6,2016,$3.25,ADP
7,2015,$3.05,ADP
8,2014,$3.14,ADP
9,2013,$2.89,ADP
10,2012,$2.82,ADP
11,2011,$2.52,ADP
12,2010,$2.40,ADP
13,2009,$2.63,ADP
0,2021,$9.55,AAP
1,2020,$7.14,AAP
2,2019,$6.84,AAP
3,2018,$5.73,AAP
4,2017,$6.42,AAP
5,2016,$6.20,AAP
6,2015,$6.40,AAP
7,2014,$6.71,AAP
8,2013,$5.32,AAP
9,2012,$5.22,AAP
10,2011,$5.11,AAP
11,2010,$3.95,AAP
12,2009,$2.83,AAP
0,2021,$-0.61,AES
1,2020,$0.07,AES
2,2019,$0.45,AES
3,2018,$1.81,AES
4,2017,$-1.76,AES
5,2016,$-1.72,AES
6,2015,$0.44,AES
7,2014,$1.06,AES
8,2013,$0.15,AES
9,2012,$-1.21,AES
10,2011,$0.07,AES
11,2010,$0.01,AES
12,2009,$0.98,AES
0,2021,$6.39,AFL
1,2020,$6.67,AFL
2,2019,$4.43,AFL
3,2018,$3.77,AFL
4,2017,$5.77,AFL
5,2016,$3.21,AFL
6,2015,$2.93,AFL
7,2014,$3.25,AFL
8,2013,$3.38,AFL
9,2012,$3.06,AFL
10,2011,$2.06,AFL
11,2010,$2.46,AFL
12,2009,$1.60,AFL
0,2022,$4.18,A
1,2021,$3.94,A
2,2020,$2.30,A
3,2019,$3.37,A
4,2018,$0.97,A
5,2017,$2.10,A
6,2016,$1.40,A
7,2015,$1.20,A
8,2014,$1.62,A
9,2013,$2.13,A
10,2012,$3.27,A
11,2011,$2.85,A
12,2010,$1.94,A
13,2009,$-0.09,A
0,2022,$10.14,APD
1,2021,$9.43,APD
2,2020,$8.49,APD
3,2019,$7.94,APD
4,2018,$6.78,APD
5,2017,$13.65,APD
6,2016,$2.89,APD
7,2015,$5.88,APD
8,2014,$4.61,APD
9,2013,$4.68,APD
10,2012,$5.44,APD
11,2011,$5.63,APD
12,2010,$4.74,APD
13,2009,$2.96,APD
0,2021,$3.93,AKAM
1,2020,$3.37,AKAM
2,2019,$2.90,AKAM
3,2018,$1.76,AKAM
4,2017,$1.29,AKAM
5,2016,$1.82,AKAM
6,2015,$1.78,AKAM
7,2014,$1.84,AKAM
8,2013,$1.61,AKAM
9,2012,$1.12,AKAM
10,2011,$1.07,AKAM
11,2010,$0.90,AKAM
12,2009,$0.78,AKAM
0,2021,$3.77,ALK
1,2020,$-10.72,ALK
2,2019,$6.19,ALK
3,2018,$3.52,ALK
4,2017,$7.75,ALK
5,2016,$6.41,ALK
6,2015,$6.56,ALK
7,2014,$4.42,ALK
8,2013,$3.58,ALK
9,2012,$2.20,ALK
10,2011,$1.67,ALK
11,2010,$1.71,ALK
12,2009,$0.84,ALK
0,2021,$1.06,ALB
1,2020,$3.52,ALB
2,2019,$5.02,ALB
3,2018,$6.34,ALB
4,2017,$0.49,ALB
5,2016,$5.68,ALB
6,2015,$3.00,ALB
7,2014,$1.69,ALB
8,2013,$4.90,ALB
9,2012,$3.47,ALB
10,2011,$4.28,ALB
11,2010,$3.43,ALB
12,2009,$1.94,ALB
0,2021,$3.82,ARE
1,2020,$6.01,ARE
2,2019,$3.12,ARE
3,2018,$3.52,ARE
4,2017,$1.58,ARE
5,2016,$-1.99,ARE
6,2015,$1.63,ARE
7,2014,$1.01,ARE
