,Quarterly,eps_value,ticker
0,2022-09-30,$6.77,MMM
1,2022-06-30,$0.14,MMM
2,2022-03-31,$2.26,MMM
3,2021-12-31,$2.31,MMM
4,2021-09-30,$2.45,MMM
5,2021-06-30,$2.59,MMM
6,2021-03-31,$2.77,MMM
7,2020-12-31,$2.41,MMM
8,2020-09-30,$2.45,MMM
9,2020-06-30,$2.25,MMM
10,2020-03-31,$2.25,MMM
11,2019-12-31,$1.57,MMM
12,2019-09-30,$2.72,MMM
13,2019-06-30,$1.92,MMM
14,2019-03-31,$1.51,MMM
15,2018-12-31,$2.26,MMM
16,2018-09-30,$2.58,MMM
17,2018-06-30,$3.07,MMM
18,2018-03-31,$0.98,MMM
19,2017-12-31,$0.86,MMM
20,2017-09-30,$2.33,MMM
21,2017-06-30,$2.58,MMM
22,2017-03-31,$2.16,MMM
23,2016-12-31,$1.88,MMM
24,2016-09-30,$2.15,MMM
25,2016-06-30,$2.08,MMM
26,2016-03-31,$2.05,MMM
27,2015-12-31,$1.66,MMM
28,2015-09-30,$2.05,MMM
29,2015-06-30,$2.02,MMM
30,2015-03-31,$1.85,MMM
31,2014-12-31,$1.81,MMM
32,2014-09-30,$1.98,MMM
33,2014-06-30,$1.91,MMM
34,2014-03-31,$1.79,MMM
35,2013-12-31,$1.62,MMM
36,2013-09-30,$1.78,MMM
37,2013-06-30,$1.71,MMM
38,2013-03-31,$1.61,MMM
39,2012-12-31,$1.42,MMM
40,2012-09-30,$1.65,MMM
41,2012-06-30,$1.66,MMM
42,2012-03-31,$1.59,MMM
43,2011-12-31,$1.35,MMM
44,2011-09-30,$1.52,MMM
45,2011-06-30,$1.60,MMM
46,2011-03-31,$1.49,MMM
47,2010-12-31,$1.27,MMM
48,2010-09-30,$1.53,MMM
49,2010-06-30,$1.54,MMM
50,2010-03-31,$1.29,MMM
51,2009-12-31,$1.31,MMM
52,2009-09-30,$1.35,MMM
53,2009-06-30,$1.12,MMM
54,2009-03-31,$0.74,MMM
0,2022-09-30,$0.71,AOS
1,2022-06-30,$0.81,AOS
2,2022-03-31,$0.76,AOS
3,2021-12-31,$0.87,AOS
4,2021-09-30,$0.82,AOS
5,2021-06-30,$0.73,AOS
6,2021-03-31,$0.60,AOS
7,2020-12-31,$0.73,AOS
8,2020-09-30,$0.65,AOS
9,2020-06-30,$0.42,AOS
10,2020-03-31,$0.32,AOS
11,2019-12-31,$0.55,AOS
12,2019-09-30,$0.53,AOS
13,2019-06-30,$0.61,AOS
14,2019-03-31,$0.53,AOS
15,2018-12-31,$0.74,AOS
16,2018-09-30,$0.61,AOS
17,2018-06-30,$0.66,AOS
18,2018-03-31,$0.57,AOS
19,2017-12-31,$0.13,AOS
20,2017-09-30,$0.54,AOS
21,2017-06-30,$0.53,AOS
22,2017-03-31,$0.50,AOS
23,2016-12-31,$0.48,AOS
24,2016-09-30,$0.47,AOS
25,2016-06-30,$0.49,AOS
26,2016-03-31,$0.41,AOS
27,2015-12-31,$0.45,AOS
28,2015-09-30,$0.41,AOS
29,2015-06-30,$0.40,AOS
30,2015-03-31,$0.33,AOS
31,2014-12-31,$0.29,AOS
32,2014-09-30,$0.28,AOS
33,2014-06-30,$0.32,AOS
34,2014-03-31,$0.26,AOS
35,2013-12-31,$0.23,AOS
36,2013-09-30,$0.25,AOS
37,2013-06-30,$0.23,AOS
38,2013-03-31,$0.21,AOS
39,2012-12-31,$0.34,AOS
40,2012-09-30,$0.20,AOS
41,2012-06-30,$0.19,AOS
42,2012-03-31,$0.13,AOS
43,2011-12-31,$0.17,AOS
44,2011-09-30,$0.98,AOS
45,2011-06-30,$0.27,AOS
46,2011-03-31,$0.22,AOS
47,2010-12-31,$0.18,AOS
48,2010-09-30,$0.17,AOS
49,2010-06-30,$0.09,AOS
50,2010-03-31,$0.17,AOS
51,2009-12-31,$0.13,AOS
52,2009-09-30,$0.19,AOS
53,2009-06-30,$0.14,AOS
54,2009-03-31,$0.05,AOS
0,2022-09-30,$0.81,ABT
1,2022-06-30,$1.14,ABT
2,2022-03-31,$1.37,ABT
3,2021-12-31,$1.11,ABT
4,2021-09-30,$1.17,ABT
5,2021-06-30,$0.66,ABT
6,2021-03-31,$1.00,ABT
7,2020-12-31,$1.20,ABT
8,2020-09-30,$0.69,ABT
9,2020-06-30,$0.30,ABT
10,2020-03-31,$0.31,ABT
11,2019-12-31,$0.59,ABT
12,2019-09-30,$0.53,ABT
13,2019-06-30,$0.56,ABT
14,2019-03-31,$0.38,ABT
15,2018-12-31,$0.37,ABT
16,2018-09-30,$0.32,ABT
17,2018-06-30,$0.41,ABT
18,2018-03-31,$0.23,ABT
19,2017-12-31,$-0.47,ABT
20,2017-09-30,$0.34,ABT
21,2017-06-30,$0.16,ABT
22,2017-03-31,$0.24,ABT
23,2016-12-31,$0.54,ABT
24,2016-09-30,$-0.22,ABT
25,2016-06-30,$0.41,ABT
26,2016-03-31,$0.21,ABT
27,2015-12-31,$0.51,ABT
28,2015-09-30,$0.38,ABT
29,2015-06-30,$0.52,ABT
30,2015-03-31,$1.51,ABT
31,2014-12-31,$0.59,ABT
32,2014-09-30,$0.36,ABT
33,2014-06-30,$0.30,ABT
34,2014-03-31,$0.24,ABT
35,2013-12-31,$0.37,ABT
36,2013-09-30,$0.61,ABT
37,2013-06-30,$0.30,ABT
38,2013-03-31,$0.34,ABT
39,2012-12-31,$0.65,ABT
40,2012-09-30,$1.21,ABT
41,2012-06-30,$1.08,ABT
42,2012-03-31,$0.78,ABT
43,2011-12-31,$1.02,ABT
44,2011-09-30,$0.19,ABT
45,2011-06-30,$1.23,ABT
46,2011-03-31,$0.55,ABT
47,2010-12-31,$0.92,ABT
48,2010-09-30,$0.57,ABT
49,2010-06-30,$0.83,ABT
50,2010-03-31,$0.64,ABT
51,2009-12-31,$0.99,ABT
52,2009-09-30,$0.95,ABT
53,2009-06-30,$0.83,ABT
54,2009-03-31,$0.92,ABT
0,2022-09-30,$2.21,ABBV
1,2022-06-30,$0.51,ABBV
2,2022-03-31,$2.51,ABBV
3,2021-12-31,$2.26,ABBV
4,2021-09-30,$1.78,ABBV
5,2021-06-30,$0.42,ABBV
6,2021-03-31,$1.99,ABBV
7,2020-12-31,$-0.13,ABBV
8,2020-09-30,$1.29,ABBV
9,2020-06-30,$-0.46,ABBV
10,2020-03-31,$2.02,ABBV
11,2019-12-31,$1.88,ABBV
12,2019-09-30,$1.26,ABBV
13,2019-06-30,$0.49,ABBV
14,2019-03-31,$1.65,ABBV
15,2018-12-31,$-1.15,ABBV
16,2018-09-30,$1.81,ABBV
17,2018-06-30,$1.26,ABBV
18,2018-03-31,$1.74,ABBV
19,2017-12-31,$0.04,ABBV
20,2017-09-30,$1.01,ABBV
21,2017-06-30,$1.19,ABBV
22,2017-03-31,$1.06,ABBV
23,2016-12-31,$0.85,ABBV
24,2016-09-30,$0.97,ABBV
25,2016-06-30,$0.98,ABBV
26,2016-03-31,$0.83,ABBV
27,2015-12-31,$0.93,ABBV
28,2015-09-30,$0.74,ABBV
29,2015-06-30,$0.83,ABBV
30,2015-03-31,$0.63,ABBV
31,2014-12-31,$-0.50,ABBV
32,2014-09-30,$0.31,ABBV
33,2014-06-30,$0.68,ABBV
34,2014-03-31,$0.61,ABBV
35,2013-12-31,$0.70,ABBV
36,2013-09-30,$0.60,ABBV
37,2013-06-30,$0.66,ABBV
38,2013-03-31,$0.60,ABBV
39,2012-12-31,$0.98,ABBV
40,2012-09-30,$1.01,ABBV
41,2012-06-30,$0.80,ABBV
42,2012-03-31,$0.56,ABBV
43,2011-12-31,$0.73,ABBV
44,2011-09-30,$0.01,ABBV
45,2011-06-30,$0.98,ABBV
46,2011-03-31,$0.00,ABBV
47,2010-12-31,$0.00,ABBV
48,2009-12-31,$0.00,ABBV
0,2022-09-30,$2.32,ABMD
1,2022-06-30,$1.19,ABMD
2,2022-03-31,$1.33,ABMD
3,2021-12-31,$1.00,ABMD
4,2021-09-30,$1.24,ABMD
5,2021-06-30,$-0.59,ABMD
6,2021-03-31,$1.25,ABMD
7,2020-12-31,$1.35,ABMD
8,2020-09-30,$1.36,ABMD
9,2020-06-30,$0.98,ABMD
10,2020-03-31,$0.71,ABMD
11,2019-12-31,$1.51,ABMD
12,2019-09-30,$0.28,ABMD
13,2019-06-30,$1.93,ABMD
14,2019-03-31,$1.60,ABMD
15,2018-12-31,$0.97,ABMD
16,2018-09-30,$1.09,ABMD
17,2018-06-30,$1.95,ABMD
18,2018-03-31,$0.80,ABMD
19,2017-12-31,$0.29,ABMD
20,2017-09-30,$0.54,ABMD
21,2017-06-30,$0.82,ABMD
22,2017-03-31,$0.34,ABMD
23,2016-12-31,$0.34,ABMD
24,2016-09-30,$0.20,ABMD
25,2016-06-30,$0.29,ABMD
