,Total_value_todate,Return_without_trailing,Return_trailing_12m
2019-01-02,10000.0,100.0,
2019-01-03,10091.470852877494,100.91470852877494,
2019-01-04,10065.452501760952,100.65452501760952,
2019-01-08,10440.686713755646,104.40686713755645,
2019-01-09,10470.770063915334,104.70770063915333,
2019-01-10,10573.031836948014,105.73031836948014,
2019-01-11,10528.198096419093,105.28198096419092,
2019-01-16,10613.76966430257,106.1376966430257,
2019-01-17,10583.660854043406,105.83660854043406,
2019-01-18,10790.383452302995,107.90383452302994,
2019-01-22,10745.668755455717,107.45668755455718,
2019-01-23,10708.29525500976,107.08295255009759,
2019-01-24,10595.168640816175,105.95168640816175,105.95168640816175
2019-01-25,10567.807015840655,105.67807015840656,104.72018568856431
2019-01-29,10567.176563251845,105.67176563251846,104.98461506229468
2019-01-30,10581.10465323553,105.8110465323553,101.34491095585585
2019-01-31,10688.566875056777,106.88566875056777,102.08004578280274
2019-02-01,10828.858483771672,108.28858483771671,102.41961483488265
2019-02-05,10913.481804410007,109.13481804410006,103.65954082989717
2019-02-06,10988.073490216946,109.88073490216945,103.5265870445001
2019-02-07,10997.019611468624,109.97019611468623,103.9056311717254
2019-02-08,10999.329902198971,109.99329902198971,101.93641357436081
2019-02-12,11244.610024599026,112.44610024599027,104.64318490080005
2019-02-13,11213.454234255949,112.13454234255948,104.7174547135302
2019-02-14,11223.540354645505,112.23540354645505,105.93073819899979
2019-02-15,11333.935399131706,113.33935399131705,107.24964396248586
2019-02-20,11341.806364198444,113.41806364198443,107.33052766091211
2019-02-21,11253.807708826276,112.53807708826275,106.35758815016582
2019-02-22,11356.154640817434,113.56154640817435,106.24581174973574
2019-02-26,11376.298302405552,113.76298302405552,105.05537882367089
2019-02-27,11324.157422999857,113.24157422999856,103.76301189620256
2019-02-28,11368.006305501689,113.6800630550169,103.45768360234405
2019-03-01,11454.86257280322,114.54862572803219,104.1633367722389
2019-03-05,11401.856450254476,114.01856450254475,103.65955518776677
2019-03-06,11396.905512611027,113.96905512611026,101.35438656991069
2019-03-07,11305.674134623547,113.05674134623547,100.8224040375166
2019-03-08,11195.961182996898,111.95961182996899,99.75427386745046
2019-03-12,11409.553236671829,114.0955323667183,100.66718077064314
2019-03-13,11474.980206945987,114.74980206945989,101.17418547338208
2019-03-14,11476.347430652175,114.76347430652174,101.97746156308823
2019-03-15,11498.212233325487,114.98212233325486,101.25093041615914
2019-03-19,11594.713104421502,115.94713104421501,101.91991099573896
2019-03-20,11577.477469536441,115.77477469536441,102.23698803428924
2019-03-21,11598.148039153259,115.98148039153257,102.02446873679327
2019-03-22,11799.794609004064,117.99794609004064,103.01122806152037
2019-03-26,11816.920362839415,118.16920362839416,103.64031870069435
2019-03-27,11835.90989465347,118.35909894653471,103.8519612324299
2019-03-28,11795.378451125225,117.95378451125225,104.33149152072198
2019-03-29,11917.616478457889,119.17616478457889,106.44567521864006
2019-04-02,12089.76027877063,120.89760278770629,105.96173248845997
2019-04-03,12150.09565333561,121.50095653335609,105.88336915806586
2019-04-04,12141.12257447488,121.4112257447488,105.79256725922359
2019-04-05,12099.625080873931,120.99625080873932,105.23049005657906
2019-04-09,12091.22076097489,120.9122076097489,104.28219009889989
2019-04-10,12143.478613467763,121.43478613467764,104.88881231184106
2019-04-11,12195.133187430922,121.95133187430922,105.14724545903664
2019-04-12,12214.649701115586,122.14649701115586,103.51578231535453
2019-04-16,12251.325065055345,122.51325065055345,103.67612447979255
2019-04-17,12157.447034741215,121.57447034741216,102.71662375727438
2019-04-18,12018.470177142468,120.18470177142468,101.891348606928
2019-04-23,12014.01373030798,120.1401373030798,100.80886351750232
2019-04-24,12138.74002543289,121.38740025432891,100.40513414271967
2019-04-25,12160.2214794377,121.602214794377,100.08333947642059
2019-04-26,12183.004779005681,121.83004779005682,100.34496154926278
2019-04-30,12242.70658699294,122.4270658699294,101.18252842681198
2019-05-01,12302.905697880053,123.02905697880053,101.75073254462765
2019-05-02,12121.256963395055,121.21256963395055,99.81700754141352
2019-05-03,12227.384233577506,122.27384233577506,100.26445833473818
2019-05-07,12102.976678931263,121.02976678931263,99.08574519190572
2019-05-08,11987.434963327725,119.87434963327726,97.846028080013
2019-05-09,11948.59710482071,119.4859710482071,98.28212346454241
2019-05-10,11982.802249973405,119.82802249973406,99.70322406559782
2019-05-14,11912.766783534564,119.12766783534563,99.15725960493954
2019-05-15,11928.348939949481,119.2834893994948,98.26677987136556
2019-05-16,12077.438480454357,120.77438480454357,99.31923115772747
2019-05-17,12085.886026590259,120.85886026590258,99.20283415974043
2019-05-21,12099.59409227185,120.99594092271848,98.83103876006358
2019-05-22,12087.234173445786,120.87234173445786,98.24698709613429
2019-05-23,12078.262998284861,120.7826299828486,99.64530110004242
2019-05-24,12141.738776008064,121.41738776008064,99.29956026625668
2019-05-29,12011.677519043018,120.11677519043018,99.24564706426992
2019-05-30,11979.195585536376,119.79195585536375,99.9312665485439
2019-05-31,11951.49814330366,119.51498143303658,100.02427932298244
2019-06-04,12066.095360630576,120.66095360630575,100.69510544294724
2019-06-05,12232.924355200008,122.32924355200008,102.68751648951908
2019-06-06,12387.762621740138,123.87762621740137,103.85144401881156
2019-06-07,12512.368357041501,125.12368357041501,103.60117650188008
2019-06-11,12606.228526739575,126.06228526739574,104.30537321802065
2019-06-12,12580.950983317722,125.80950983317723,103.97828958041924
2019-06-13,12683.458830205887,126.83458830205888,104.93268061331959
2019-06-14,12687.119913136825,126.87119913136824,105.04093109198254
2019-06-18,12779.085901244782,127.79085901244783,105.24922448913254
2019-06-19,12735.477028330839,127.3547702833084,106.02579871246398
2019-06-20,12927.065421642752,129.27065421642752,107.91263344302375
2019-06-21,12899.848041580255,128.99848041580256,107.93498762168115
2019-06-25,12863.665006500158,128.6366500650016,106.61000615387064
2019-06-26,12757.280297931251,127.5728029793125,104.28643166184828
2019-06-27,12660.100821189504,126.60100821189504,102.19844541557022
2019-06-28,12732.872761894447,127.32872761894447,101.7622915067782
